Name	Currency
MICROSOFT CORP	USD
FACEBOOK INC-A	USD
ALPHABET INC-CL C	USD
ALPHABET INC-CL A	USD
VISA INC-CLASS A SHARES	USD
MASTERCARD INC - A	USD
ORACLE CORP	USD
INTL BUSINESS MACHINES CORP	USD
ADOBE SYSTEMS INC	USD
PAYPAL HOLDINGS INC	USD
SALESFORCE.COM INC	USD
AUTOMATIC DATA PROCESSING	USD
ACTIVISION BLIZZARD INC	USD
COGNIZANT TECH SOLUTIONS-A	USD
INTUIT INC	USD
EBAY INC	USD
ELECTRONIC ARTS INC	USD
FIDELITY NATIONAL INFO SERV	USD
FISERV INC	USD
DXC TECHNOLOGY CO	USD
SERVICENOW INC	USD
PAYCHEX INC	USD
AUTODESK INC	USD
RED HAT INC	USD
FLEETCOR TECHNOLOGIES INC	USD
SYMANTEC CORP	USD
DELL TECHNOLOGIES INC-CL V	USD
TWITTER INC	USD
GLOBAL PAYMENTS INC	USD
TOTAL SYSTEM SERVICES INC	USD
CITRIX SYSTEMS INC	USD
SYNOPSYS INC	USD
WORKDAY INC-CLASS A	USD
ANSYS INC	USD
ALLIANCE DATA SYSTEMS CORP	USD
WORLDPAY INC-CLASS A	USD
CADENCE DESIGN SYS INC	USD
SPLUNK INC	USD
TAKE-TWO INTERACTIVE SOFTWRE	USD
AKAMAI TECHNOLOGIES INC	USD
GARTNER INC	USD
CA INC	USD
BROADRIDGE FINANCIAL SOLUTIO	USD
VERISIGN INC	USD
CDK GLOBAL INC	USD
AMDOCS LTD	USD
WESTERN UNION CO	USD
LEIDOS HOLDINGS INC	USD
JACK HENRY & ASSOCIATES INC	USD
VMWARE INC-CLASS A	USD
IAC/INTERACTIVECORP	USD
SQUARE INC - A	USD
FIRST DATA CORP- CLASS A	USD
PTC INC	USD
SS&C TECHNOLOGIES HOLDINGS	USD
TYLER TECHNOLOGIES INC	USD
FORTINET INC	USD
GRUBHUB INC	USD
ULTIMATE SOFTWARE GROUP INC	USD
GODADDY INC - CLASS A	USD
LOGMEIN INC	USD
GUIDEWIRE SOFTWARE INC	USD
BOOZ ALLEN HAMILTON HOLDINGS	USD
WEX INC	USD
EPAM SYSTEMS INC	USD
ASPEN TECHNOLOGY INC	USD
BLACK KNIGHT INC	USD
TERADATA CORP	USD
SABRE CORP	USD
NUANCE COMMUNICATIONS INC	USD
FAIR ISAAC CORP	USD
CSRA INC	USD
